run_id,seed,Acc,NLL,ECE,FPR@95,AUROC,label
R1,0,0.9134,0.25399670004844666,0.021463981360197032,0.24607311381458152,0.8143246033653846,CBOpt-iso s=+1 (R1)
R1,1,0.9107,0.2596721351146698,0.022658623279631168,0.26049963826725947,0.7942007884615385,CBOpt-iso s=+1 (R1)
R1,2,0.9121,0.25606054067611694,0.022353989064693425,0.2826741609863594,0.7698204855769231,CBOpt-iso s=+1 (R1)
BDIAG,0,0.9159,0.2508905231952667,0.02067909802049396,0.27817828343305434,0.7711198076923077,CBOpt-diag s=+1
BDIAG,1,0.9128,0.2535545229911804,0.02319860241115093,0.31748354940090356,0.7315544302884616,CBOpt-diag s=+1
BDIAG,2,0.9152,0.25096309185028076,0.01740102697610859,0.2796384283484985,0.7700482163461538,CBOpt-diag s=+1
BBLOCK,0,0.9057,0.257571816444397,0.014202519568800944,0.2719886127386127,0.7732188149038461,CBOpt-block s=+1 (seed 2 excl.)
BBLOCK,1,0.9094,0.2550913691520691,0.01320147881358862,0.30580862232181816,0.7364431514423077,CBOpt-block s=+1 (seed 2 excl.)
