run_id,seed,epoch,train_loss,val_loss,n_blocks,flip_to_splus_frac,infeasible_frac,n_sminus,n_sminus_infeasible,n_splus,hs_pos_raw,hs_margin_raw,feasible_sminus,infeasible_sminus,flip_to_splus,psi,u_sq,hs_pos_real,hs_margin_real,hs_pos_cf,hs_margin_cf,lphi_real,lphi_cf,lphi_bound_real,vartheta,vartheta_cf,hs_pos_raw_cf,hs_margin_raw_cf
BBLOCK,0,1,0.6730375321706136,0.4279465089639028,10.0,0.0,0.5388625592417062,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,
BBLOCK,0,2,0.4140883416511394,0.3857680878639221,10.0,0.0,0.5061611374407583,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,
BBLOCK,0,3,0.4064006517816473,0.390529089530309,10.0,0.0,0.509478672985782,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,
BBLOCK,0,4,0.4116797149622881,0.4651262626647949,10.0,0.0,0.5085308056872038,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,
BBLOCK,0,5,0.4406974904448897,0.4072564459641774,10.0,0.0,0.5163507109004739,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,
BBLOCK,0,6,0.5127375247655092,0.4556682805220286,10.0,0.0,0.535781990521327,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,
BBLOCK,0,7,0.4899810479128802,0.489800967057546,10.0,0.0,0.5270142180094787,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,
BBLOCK,0,8,0.465674456331465,0.488554886897405,10.0,0.0,0.5163507109004739,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,
BBLOCK,0,9,0.471826456590935,0.4924196194807688,10.0,0.0,0.5234597156398104,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,
BBLOCK,0,10,0.4566002773973677,0.4872095758914948,10.0,0.0,0.5139810426540284,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,
BBLOCK,0,11,0.4573233620325724,0.4544102725187937,10.0,0.0,0.5139810426540284,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,
BBLOCK,0,12,0.4685375665558709,0.4764964890480041,10.0,0.0,0.5213270142180095,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,
BBLOCK,0,13,0.4663294113123858,0.6485818457603455,10.0,0.0,0.5218009478672986,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,
