run_id,seed,epoch,train_loss,val_loss,hs_pos_real,hs_margin_real,hs_pos_cf,hs_margin_cf,lphi_real,lphi_cf,lphi_bound_real,vartheta,vartheta_cf
R1,2,1,0.8127461353143056,0.5327217993736267,0.0,-81.38793305680687,1.0,18760306.95449621,278953436.0333026,64214798225463.55,15695.823969808976,0.04151555094721062,5.03598405382501
R1,2,2,0.43436953959641633,0.3652891281445821,0.0,-100.18300627224768,1.0,23156799.117277615,203934205.6373953,47140119602633.11,19414.821387847725,0.0413471310592759,5.022252290316645
R1,2,3,0.38033806531517594,0.3655643278757731,0.0,-125.81791878481853,1.0,29113474.974603165,319222220.74101496,73867699392772.31,24482.38183663074,0.04117964443660552,5.005364526300117
R1,2,4,0.36426313234258584,0.35802371486028034,0.0,-147.50835213492485,1.0,34158654.986376725,439668418.02866274,101816921261499.27,28823.950389327227,0.04101262664580602,4.987730229049878
R1,2,5,0.36481072503549083,0.38038147711753845,0.0,-151.9825878794479,1.0,35220273.81546604,464016598.80845815,107530578222863.7,29820.767800663867,0.04084653037209665,4.9697358157267235
R1,2,6,0.3732971631950802,0.3415115354061127,0.0,-165.65680454196755,1.0,38409140.650645606,554428970.997187,128554186159536.64,32643.786105546566,0.04068096068598344,4.951396979036481
R1,2,7,0.36352390840759985,0.3781601824760437,0.0,-168.2765619485541,1.0,39032630.09559426,580785635.5041764,134716846786580.36,33303.311671083145,0.04051619154350459,4.933022729171466
R1,2,8,0.35645051157033003,0.3941603903770447,0.0,-177.42547066912198,1.0,41173508.86714773,642577121.4933126,149121143852984.03,35259.8509104586,0.0403521066711795,4.914597349471448
R1,2,9,0.35941406700346207,0.3808673846721649,0.0,-170.50461773487658,1.0,39583666.53921219,606791164.743825,140875525252405.22,34035.97611141529,0.04018863939425033,4.896347434121798
R1,2,10,0.35630362051504627,0.3441846897602081,0.0,-173.7429974746685,1.0,40353862.37076249,634021076.1264616,147263107880433.53,34824.238183597416,0.040026011053592936,4.878004046948958
R1,2,11,0.35805833356468764,0.4205172746181488,0.0,-166.0965140666305,1.0,38597725.95655781,585925984.5686122,136163536425731.44,33431.77450302911,0.03986386296546095,4.859894446273427
R1,2,12,0.35560245577494304,0.40251477956771853,0.0,-166.48406800434535,1.0,38710089.114613,590079640.7510716,137203959706151.62,33652.240063365614,0.0397026393682726,4.8419419488921465
R1,2,13,0.35761106094607603,0.362845316807429,0.0,-160.32954139709153,1.0,37300572.71641037,549384154.3915325,127817447116976.2,32547.51534438287,0.03954183547741927,4.824079830648479
R1,2,14,0.35238299899631076,0.36420494357744854,0.0,-164.1274469758374,1.0,38193997.27121378,580391273.6965976,135066586327182.77,33465.57036933169,0.03938197373382507,4.806071372340782
R1,2,15,0.3486812974523615,0.3290366861820221,0.0,-163.04656425678505,1.0,37967829.412858956,576887240.4488636,134341735689852.02,33374.60706913133,0.03922252892888194,4.788030112744639
R1,2,16,0.3467393281724718,0.33962843068440757,0.0,-168.55379262506446,1.0,39260700.24244298,622956422.827818,145105700110353.06,34653.621613018,0.03906399328862468,4.770203984292639
R1,2,17,0.3536886509524451,0.3688424410025279,0.0,-157.60009055469416,1.0,36724394.13012736,546976014.4016992,127465731245146.25,32546.91644289278,0.038905918686573324,4.752551581785172
R1,2,18,0.35223711327270224,0.36258745940526327,0.0,-157.59689800647672,1.0,36741898.24739025,549007320.2698194,128004456953077.14,32684.158694554473,0.03874868313151021,4.734858182158599
R1,2,19,0.35019377324316237,0.3456537823677063,0.0,-160.60381831857796,1.0,37465427.7169829,580345442.1355656,135386709185322.48,33439.908657122054,0.038591978995245316,4.717097931759215
R1,2,20,0.34948918283427205,0.33901227498054504,0.0,-159.77084985930077,1.0,37283775.757283755,577179779.1828873,134696617084806.81,33408.88009861974,0.03843602240085602,4.699372249286096
R1,2,21,0.3453400841554006,0.3454758814175924,0.0,-162.96712714114793,1.0,38046446.72296834,603658232.9437085,140937880330091.44,34219.7419869918,0.03828068231952942,4.681683059647278
R1,2,22,0.3427294071956917,0.36601936229070026,0.0,-160.92245917282804,1.0,37578307.97493174,592124620.2634697,138284140813171.84,33943.53008478849,0.03812599252455103,4.664249553404068
R1,2,23,0.3408483972372832,0.3741221760908763,0.0,-161.92122049805369,1.0,37839191.49516222,608328556.1783772,142169623223022.47,34284.424726339144,0.03797200302923879,4.6467567232062255
R1,2,24,0.3492645911287378,0.34715782562891645,0.0,-152.25092687574613,1.0,35584117.94634214,547147527.7833052,127883849205961.94,32386.099064610095,0.03781857810547336,4.629251143273067
R1,2,25,0.3420870442787806,0.36968048429489136,0.0,-155.17619635244688,1.0,36285574.15116641,573127264.3955749,134023351039184.64,33137.53697921584,0.03766591669090333,4.6116923161060654
R1,2,26,0.3509320986535814,0.34766430385907493,0.0,-142.7492033474776,1.0,33391459.2241194,489571209.38126564,114528250381408.08,30619.438613590093,0.03751375760585964,4.594253758048657
R1,2,27,0.34271258191709164,0.36730447061856586,0.0,-150.25872922053975,1.0,35156516.897011265,539125251.0409508,126152899830283.89,32364.216931435203,0.03736240229298991,4.576877273570071
R1,2,28,0.3434071322547065,0.3425224448839823,0.0,-145.65823265374382,1.0,34090115.876595505,507818732.76674265,118860843593545.8,31509.822782711242,0.03721150676741224,4.55976567953611
R1,2,29,0.3415374944916478,0.3510541267395019,0.0,-145.07400760636702,1.0,33973452.179410286,508737329.28546387,119148390085083.2,31511.44395042422,0.03706143599364065,4.542628426905788
R1,2,30,0.3384228881288458,0.35315254831314086,0.0,-144.16799060356388,1.0,33778031.31720271,505754017.34326756,118507747739794.3,31443.06221296345,0.0369118010910366,4.525590354948132
R1,2,31,0.33476614406373767,0.37927278542518617,0.0,-142.10468892466145,1.0,33312678.55888076,497032204.42546654,116525727446704.25,31119.043446795644,0.03676299991146211,4.508562994889818
R1,2,32,0.3285997092105724,0.35168165930112205,0.0,-149.59096409899368,1.0,35088363.50676535,554149068.7968112,129994767639060.02,32889.521352876225,0.03661462145968879,4.491713441581072
