run_id,seed,epoch,train_loss,val_loss
S6,0,1,2.3027260974601464,2.302806748708089
S6,0,2,2.3026130020000317,2.3028063462575274
S6,0,3,2.3026941363016764,2.3031873391469317
S6,0,4,2.302765092708446,2.3027450192769368
S6,0,5,2.302759795506795,2.302931038538615
S6,0,6,2.3027985396915014,2.3026869614919026
S6,0,7,2.3027518890522143,2.302859332402547
S6,0,8,2.302664742151896,2.3025289815266925
S6,0,9,2.3026483670693856,2.302890158335368
S6,0,10,2.3024912608817774,2.3032379360198973
S6,0,11,2.302577066068296,2.302471253712972
S6,0,12,2.3024864793706823,2.301944729487101
S6,0,13,2.3022909123456037,2.3034667650858562
S6,0,14,2.3022691640500668,2.302536833445231
S6,0,15,2.302215484760426,2.3021765174865725
S6,0,16,2.302215952202126,2.302841794967651
S6,0,17,2.3021609473758273,2.3020190003712973
S6,0,18,2.302137588430334,2.302195405960083
S6,0,19,2.3020301487534134,2.301920248667399
S6,0,20,2.3019635774824354,2.302070090611776
S6,0,21,2.3019095929463704,2.301682478586833
S6,0,22,2.301757373244674,2.301774648030599
S6,0,23,2.3015760601184985,2.3012661889394126
S6,0,24,2.301431959999932,2.301421513239543
S6,0,25,2.301327627323292,2.301484053929647
S6,0,26,2.3011045106252035,2.300933509190877
S6,0,27,2.301067755734479,2.301088679631551
S6,0,28,2.300940272366559,2.301372900644938
S6,0,29,2.3009035665724014,2.301020986557007
S6,0,30,2.3008309609448467,2.3010209623972573
S6,0,31,2.3006739379741528,2.300447545369466
S6,0,32,2.300563230231956,2.3005835609436036
S6,0,33,2.300403749819155,2.3004799213409424
S6,0,34,2.3002675140522144,2.3004408988952636
S6,0,35,2.30015532818547,2.300272960662842
S6,0,36,2.300081311331855,2.3001321862538657
S6,0,37,2.3000422493969954,2.3001408030192056
S6,0,38,2.2999663052735504,2.300166337966919
S6,0,39,2.29990369047942,2.3000152842203776
S6,0,40,2.2998547139344394,2.299967103322347
S6,0,41,2.299782608032227,2.299894003550212
S6,0,42,2.299759661568536,2.2998886725107828
S6,0,43,2.299727459801568,2.2998516629536945
S6,0,44,2.2996904451582165,2.2998321215311686
S6,0,45,2.2996776036156548,2.299809995651245
S6,0,46,2.2996638901321975,2.2998256651560465
S6,0,47,2.2996533527374265,2.2998100503285728
S6,0,48,2.299645194088971,2.299801523208618
S6,0,49,2.299637115690443,2.2997979469299317
S6,0,50,2.299634129418267,2.2997971254984537
