run_id,seed,epoch,train_loss,val_loss,hs_pos_raw,hs_margin_raw,hs_pos_raw_cf,hs_margin_raw_cf,lphi_real,lphi_cf,lphi_bound_real,vartheta,vartheta_cf
S1,0,1,2.3001078260209824,2.291704147338867,1.0,40674.30717581276,0.0,-1626.8665320221999,322936035646.9573,12916220174.653429,99902414.64900099,0.20357526239894846,0.08143107295036317
S1,0,2,2.2112413189852678,1.8695474793116251,1.0,12059.294393462096,0.0,-482.1940560524455,48857065798.71739,1953754018.3885548,29717694.789736655,0.20274652560969106,0.08109423319027889
S1,0,3,1.0640211841441967,0.8203452151616414,1.0,1064.7299232647283,0.0,-42.26039839195648,260506011.33449832,10336643.352885395,2656003.910426676,0.20221892162980332,0.08075926005840302
S1,0,4,0.7529286912812126,0.6805428719520569,1.0,1361.3640165187123,0.0,-52.98423498603081,456468355.6168214,17759214.071498554,3490780.6116332794,0.20261650165711267,0.08042522459798515
S1,0,5,0.6469468131595187,0.5901362771987915,1.0,1700.575219807756,0.0,-65.35958433707029,671628372.6078995,25812379.484926373,4441543.359763534,0.2025544509715142,0.08009303212165833
S1,0,6,0.5701361169815063,0.5326652255058288,1.0,2561.1323277968495,0.0,-97.85190719505563,1570703733.9807277,59991152.33489486,6760837.750266434,0.20206253680253186,0.07976189291025225
S1,0,7,0.5245828742097925,0.511421531120936,1.0,2146.6977148045394,0.0,-81.64318108160784,1096566846.0311174,41704163.34748721,5716999.227715854,0.2014830381951702,0.07943235466265566
S1,0,8,0.4876286965917658,0.46860399063428243,1.0,2243.789601044121,0.0,-84.88635762330162,1166759965.4333637,44130053.699111566,6033492.278286586,0.20091630733478186,0.07910418510437012
S1,0,9,0.45891641350145695,0.4507046635150909,1.0,2232.2342269518103,0.0,-84.07947557700474,1140503015.9301803,42958001.06517881,6051058.506918844,0.20030151406589436,0.07877725059104757
S1,0,10,0.4354570459701397,0.43989333208402,1.0,2238.519037875076,0.0,-84.02448369937507,1131527441.662402,42470675.349921025,6116250.333389828,0.1996601682444946,0.07845199406147003
S1,0,11,0.41636219901508753,0.41933961367607114,1.0,2174.294325130448,0.0,-81.31843030711359,1084242167.9132378,40543900.79787418,5985615.655978991,0.19900002057896896,0.0781276979576355
S1,0,12,0.4004809556360598,0.4007987224260966,1.0,2219.590669843793,0.0,-82.71676777911765,1144308249.1891372,42634245.08713959,6158719.56542251,0.19836680345178365,0.07780525088310242
S1,0,13,0.38497464512012625,0.38869224913914996,1.0,2301.64426704729,0.0,-85.52464707166025,1226049937.7767758,45554871.923952445,6432613.1323955385,0.1977104950340311,0.07748364320298508
S1,0,14,0.37280109119415283,0.3873413494427999,1.0,2383.7865845905444,0.0,-88.29201627739663,1294869459.3502133,47952891.888216965,6711811.090522115,0.19705295535530334,0.07716391980648041
S1,0,15,0.3625004971380587,0.36578900734583536,1.0,2442.2638462745367,0.0,-90.22014019421651,1365573283.2931218,50436609.08524293,6924493.0867127,0.19639134268100705,0.076845030324154
S1,0,16,0.3559570513566335,0.36097669863700865,1.0,2156.831395157074,0.0,-79.44587179571229,1052398343.7460278,38762558.16755449,6160291.246283291,0.195746724778557,0.07652795910835267
S1,0,17,0.34814697079305296,0.3532345976829529,1.0,2293.690993422605,0.0,-84.24049308965935,1216093990.6986587,44650748.1762893,6599093.53349055,0.19508844546783471,0.07621181005550222
S1,0,18,0.3391897758819439,0.3738492421309153,1.0,2371.717181438707,0.0,-86.90470376773868,1289247145.430257,47231599.41910088,6870344.48703892,0.19442074020330452,0.07589733898639679
S1,0,19,0.3361036511173955,0.35327285806337994,1.0,2178.9670405684824,0.0,-79.63905188494296,1112679662.2970572,40656697.50789398,6356696.19689678,0.19376409015051232,0.07558393088562229
S1,0,20,0.3307821030440154,0.3425151132742564,1.0,2002.4870141996696,0.0,-72.97958902697026,952783844.2988595,34716189.34049724,5882423.471368492,0.1931055723081112,0.07527201771736146
S1,0,21,0.32445076219240826,0.3443746127287547,1.0,2271.002309077562,0.0,-82.55545139858675,1198954236.3509204,43572451.662517235,6717307.586043369,0.1924461094754615,0.07496133774377724
S1,0,22,0.31868833268130264,0.3390441728432973,1.0,2292.444947329212,0.0,-83.12480016721491,1231125792.7923226,44628601.884513974,6827776.796196738,0.19178489854532724,0.07465195816840041
S1,0,23,0.3180953317748176,0.33849080673853554,1.0,1928.2332673002225,0.0,-69.81632492021942,900103454.8674823,32582099.939244926,5777600.059434394,0.19110374536359362,0.0743439793586731
S1,0,24,0.3134393247012739,0.329670797586441,1.0,1897.0184621798726,0.0,-68.51211037714438,875785538.6454161,31621589.925689317,5722131.525510694,0.1904365456067517,0.07403712953436431
S1,0,25,0.3059410603487933,0.3312503616809845,1.0,2171.221456128393,0.0,-78.24380931856716,1096541673.2216022,39505818.43667715,6591707.922036806,0.1897626786925784,0.07373180687427522
S1,0,26,0.3037719943302649,0.3242914454936981,1.0,2018.0628783403647,0.0,-72.55304159310117,974613512.3799736,35028941.319103815,6166390.564638079,0.1890916962921988,0.07342748873606678
S1,0,27,0.29911757274910256,0.3220008721351624,1.0,2098.4887235481297,0.0,-75.27878114256985,1045265353.3255742,37487760.49419046,6454087.829218021,0.18843120124557963,0.07312477827072143
S1,0,28,0.29803178732483476,0.32748398224512737,1.0,1781.4200457968,0.0,-63.80358925997024,779045854.9962981,27896897.854941722,5513708.49985573,0.18776356299685723,0.07282298725645689
S1,0,29,0.29419647052552966,0.31961695607503254,1.0,1956.720247297449,0.0,-69.91105620836314,941648101.0921389,33631237.14147634,6095525.491166653,0.18709659688531327,0.07252284586429597
S1,0,30,0.29200407970393144,0.32951815533638,1.0,1804.775071970381,0.0,-64.35636605907698,791271634.6250347,28209236.590101343,5656598.901383024,0.1864244443275469,0.07222357609825678
S1,0,31,0.2900722143650055,0.32001053833961485,1.0,1730.5155968716185,0.0,-61.60695957756703,748459563.4395807,26635793.790786743,5459892.652537038,0.1857726689652723,0.07192597389221192
S1,0,32,0.28557460323969525,0.31194803134600324,1.0,1899.2367001549078,0.0,-67.42028484703795,881110256.3994966,31270630.939830273,6032118.229582051,0.18512058355158653,0.07162921702692295
S1,0,33,0.2834225968917211,0.3116136333147685,1.0,1845.5361204291344,0.0,-65.40608024670333,854314286.7537854,30266634.16001661,5897135.46834267,0.1844593070567187,0.07133412063121797
S1,0,34,0.28097248472990816,0.31077655402819315,1.0,1835.6905444765725,0.0,-64.94984752093453,835079027.1367122,29538636.40970365,5901129.431511122,0.1837973157113706,0.0710398678531014
S1,0,35,0.2788329780719898,0.3093569029172262,1.0,1864.536676055956,0.0,-65.84860594005248,868606661.743685,30664303.893928338,6031895.461215018,0.18313378277530892,0.07074723839759828
S1,0,36,0.27679669034922566,0.3079713819026947,1.0,1792.4852027527784,0.0,-63.190849273498316,804547629.1049981,28355403.77651766,5832046.956888053,0.18245959665292397,0.07045548508800037
S1,0,37,0.2751392203039593,0.31359894744555156,1.0,1648.4027470069145,0.0,-58.04333699332584,694784373.6266804,24458948.311710533,5393738.713126894,0.18179269634985318,0.07016528546810151
S1,0,38,0.27407229619556,0.3137622898419698,1.0,1570.8025628864664,0.0,-55.21919247291011,646434862.2217544,22714468.558010995,5170796.950451543,0.18113167242168093,0.06987603205075196
S1,0,39,0.2727544935853393,0.3076406627496084,1.0,1462.0749885148666,0.0,-51.31750202350972,554490188.8240839,19456408.424064916,4842651.526979686,0.18047495112405762,0.06958822011947632
S1,0,40,0.2711492349218439,0.3038841616312663,1.0,1505.5282812895296,0.0,-52.75479227498784,593154951.1575763,20779928.378579054,5016212.121218566,0.1798217055006012,0.0693014741085152
S1,0,41,0.269842589546133,0.3037757945855459,1.0,1423.1674760444787,0.0,-49.75552551946774,536511442.8257599,18753017.265168276,4771885.3389326045,0.17917773919772867,0.0690159946680069
S1,0,42,0.26826770711828163,0.3064120977719625,1.0,1585.8019401807942,0.0,-55.38802902233363,664005654.8668361,23185671.87266169,5347321.187536487,0.17852114987197346,0.06873176395893098
S1,0,43,0.2674882371160719,0.30584735973676047,1.0,1523.0605622664218,0.0,-53.08960684932228,621288909.9944702,21648560.60562344,5166436.008678701,0.17787130321339556,0.06844857189610107
S1,0,44,0.26639637781514064,0.30319919872283935,1.0,1606.1380763775446,0.0,-55.937174568506165,699190238.0957857,24343717.489637453,5480146.729938508,0.17721545412886255,0.06816684603691102
S1,0,45,0.2657525511406086,0.3039666660626729,1.0,1450.0136104133994,0.0,-50.40577795495904,561389453.4056088,19507329.924133126,4976625.858360242,0.17656681891883827,0.06788593030653858
S1,0,46,0.26487682659537704,0.30270295635859173,1.0,1384.3025432227,0.0,-48.088700191798125,521950404.9567307,18126106.683945116,4777479.467097667,0.17591581295330677,0.06760667860507966
S1,0,47,0.2646449353430006,0.3028517064253489,1.0,1332.0314197423704,0.0,-46.18917575646611,489315178.2181557,16960200.45842958,4625055.692601383,0.17527676934799308,0.06732803417890558
S1,0,48,0.26410697305644,0.3030720333258311,1.0,1378.6741815062542,0.0,-47.73191365627561,547861366.8364625,18956062.313958503,4814162.800404102,0.17463304722469183,0.0670512080192566
S1,0,49,0.26378871901830037,0.30226668508847554,1.0,1534.5137065038036,0.0,-53.069450802884354,657757172.3675123,22738650.087760527,5389866.227760475,0.17398364017225545,0.06677485427585259
