run_id,seed,epoch,train_loss,val_loss,n_blocks,flip_to_splus_frac,infeasible_frac,n_sminus,n_sminus_infeasible,n_splus
BBLOCK,0,1,0.6730375321706136,0.4279465089639028,10.0,0.0,0.5388625592417062,0.0,0.0,10.0
BBLOCK,0,2,0.41408834165113945,0.38576808786392214,10.0,0.0,0.5061611374407583,0.0,0.0,10.0
BBLOCK,0,3,0.4064006517816473,0.390529089530309,10.0,0.0,0.509478672985782,0.0,0.0,10.0
BBLOCK,0,4,0.41167971496228817,0.4651262626647949,10.0,0.0,0.5085308056872038,0.0,0.0,10.0
BBLOCK,0,5,0.44069749044488976,0.4072564459641774,10.0,0.0,0.5163507109004739,0.0,0.0,10.0
BBLOCK,0,6,0.5127375247655092,0.4556682805220286,10.0,0.0,0.535781990521327,0.0,0.0,10.0
BBLOCK,0,7,0.4899810479128802,0.489800967057546,10.0,0.0,0.5270142180094787,0.0,0.0,10.0
BBLOCK,0,8,0.465674456331465,0.488554886897405,10.0,0.0,0.5163507109004739,0.0,0.0,10.0
BBLOCK,0,9,0.47182645659093503,0.49241961948076884,10.0,0.0,0.5234597156398104,0.0,0.0,10.0
BBLOCK,0,10,0.4566002773973677,0.4872095758914948,10.0,0.0,0.5139810426540284,0.0,0.0,10.0
BBLOCK,0,11,0.45732336203257246,0.45441027251879373,10.0,0.0,0.5139810426540284,0.0,0.0,10.0
BBLOCK,0,12,0.4685375665558709,0.4764964890480041,10.0,0.0,0.5213270142180095,0.0,0.0,10.0
BBLOCK,0,13,0.46632941131238587,0.6485818457603455,10.0,0.0,0.5218009478672986,0.0,0.0,10.0
BBLOCK,0,14,0.5056869285371568,0.509971860408783,10.0,0.0,0.5433649289099526,0.0,0.0,10.0
BBLOCK,0,15,0.47238988429528694,0.4689575935204824,10.0,0.0,0.5265402843601895,0.0,0.0,10.0
BBLOCK,0,16,0.5052679254037362,0.5637259287834168,10.0,0.0,0.5386255924170616,0.0,0.0,10.0
BBLOCK,0,17,0.4741911343380257,0.4000288822650909,10.0,0.0,0.5270142180094787,0.0,0.0,10.0
BBLOCK,0,18,0.469761854701572,0.49769935083389283,10.0,0.0,0.5248815165876777,0.0,0.0,10.0
BBLOCK,0,19,0.4746383878036782,0.5158482807477315,10.0,0.0,0.531042654028436,0.0,0.0,10.0
BBLOCK,0,20,0.4676829682632729,0.4388137067159017,10.0,0.0,0.5220379146919432,0.0,0.0,10.0
BBLOCK,0,21,0.48197275407226,0.5302334009806315,10.0,0.0,0.5308056872037915,0.0,0.0,10.0
