epoch,global_step,hs_pos_raw,hs_margin_raw,hs_pos_raw_cf,hs_margin_raw_cf,lphi_real,lphi_cf,lphi_bound_real,vartheta,vartheta_cf
1,1,1.0,17974.037408492135,0.0,-756.2062148618194,65331475457.96875,2748634813.2765207,41879517.71205605,0.20144805386662484,0.08159919977188111
1,2,1.0,35486.34100300873,0.0,-1421.571951559626,242464323400.4686,9713047729.43475,86842697.28266917,0.20391648032236845,0.08159840106964111
1,3,1.0,32057.571831665166,0.0,-1282.2636450345667,197577566468.48935,7902860020.587813,78571448.1919163,0.20399168429212294,0.08159760236740113
1,4,1.0,35275.593458650765,0.0,-1410.9227373596239,239228401990.88187,9568451068.52505,86463598.59524207,0.2039921144946902,0.08159680366516114
1,5,1.0,34675.070609508395,0.0,-1386.9003121317744,231156669209.5047,9245583181.280018,84992670.00069085,0.2039902224525328,0.08159600496292115
1,6,1.0,35722.31786702789,0.0,-1428.7893356094366,245334749914.09113,9812680530.90202,87560515.11907525,0.2039882722757276,0.08159520626068116
1,7,1.0,34090.52767302544,0.0,-1363.517435455728,223437322304.22046,8936813339.223698,83561616.28895915,0.20398629141121488,0.08159440755844116
1,8,1.0,32288.27821502983,0.0,-1291.4277774306586,200441072803.4981,8016999806.067831,79144783.86270195,0.20398429515221136,0.08159360885620118
1,9,1.0,32173.82239292589,0.0,-1286.8488203777642,199026279420.12634,7960407601.202162,78865047.63084221,0.20398232728312984,0.08159281015396119
1,10,1.0,32480.00754642531,0.0,-1299.0967221585051,202836392467.55762,8112808029.188939,79616358.20662959,0.20398033143023359,0.0815920114517212
1,11,1.0,33724.52523527313,0.0,-1348.8756733327655,218682160202.3978,8746604299.992476,82667842.21467489,0.20397837800934282,0.08159121274948121
1,12,1.0,34474.03424352845,0.0,-1378.8548839278596,228514768641.19128,9139882634.95446,84505941.40688767,0.20397639704345238,0.08159041404724121
1,13,1.0,33787.776681888194,0.0,-1351.4039003740236,219511633198.20438,8779768410.539387,82824581.7483012,0.20397442965228066,0.08158961534500123
1,14,1.0,31345.702537249897,0.0,-1253.721302825471,188930721109.41553,7556584965.476738,76839111.77497044,0.20397247712081878,0.08158881664276124
1,15,1.0,32321.07135670355,0.0,-1292.7355639353866,200875079044.49298,8034336000.079413,79230930.25130975,0.20397053948922275,0.08158801794052124
1,16,1.0,32260.15780643622,0.0,-1290.2979448059893,200122332548.85666,8004221021.606591,79082472.94014178,0.20396860232324754,0.08158721923828126
1,17,1.0,32717.953268398327,0.0,-1308.608914851177,205846384014.9917,8233169530.825867,80205501.07256967,0.2039666074298233,0.08158642053604126
1,18,1.0,34438.973833359414,0.0,-1377.4486856293279,228076097694.0815,9122314612.054106,84425278.68268563,0.20396462516791625,0.08158562183380128
