run_id,seed,epoch,train_loss,val_loss,n_blocks,flip_to_splus_frac,infeasible_frac,n_sminus,n_sminus_infeasible,n_splus
GBLOCK,0,1,2.2996272864871554,2.290389525095622,10.0,0.0,0.0,10.0,0.0,0.0
GBLOCK,0,2,1.5891603516649317,0.7058576788902283,10.0,0.29360189573459716,0.29360189573459716,7.063981042654029,0.0,2.9360189573459716
GBLOCK,0,3,0.6105859963628981,0.5054358325004578,10.0,0.4,0.4,6.0,0.0,4.0
GBLOCK,0,4,0.49387576743408484,0.4458182056744893,10.0,0.4,0.4,6.0,0.0,4.0
GBLOCK,0,5,0.4301947651969062,0.4142611172199249,10.0,0.4,0.4,6.0,0.0,4.0
GBLOCK,0,6,0.39152696681905674,0.4041363282998403,10.0,0.4,0.4,6.0,0.0,4.0
GBLOCK,0,7,0.3631795722996747,0.37828026453653973,10.0,0.3997630331753555,0.3997630331753555,6.002369668246446,0.0,3.9976303317535544
GBLOCK,0,8,0.34599746412701077,0.36252647161483764,10.0,0.399526066350711,0.39928909952606634,6.004739336492891,0.0,3.995260663507109
GBLOCK,0,9,0.3324090253600368,0.32901261194547016,10.0,0.3191943127962085,0.3191943127962085,6.808056872037914,0.0,3.191943127962085
GBLOCK,0,10,0.31830474369614215,0.3482319608529409,10.0,0.312085308056872,0.3118483412322275,6.87914691943128,0.0,3.1208530805687205
GBLOCK,0,11,0.31368998289991307,0.3377857768535614,10.0,0.35616113744075834,0.3559241706161138,6.438388625592417,0.0,3.561611374407583
GBLOCK,0,12,0.30592138240072464,0.31622024393081666,10.0,0.3165876777251185,0.31540284360189574,6.834123222748815,0.0,3.1658767772511847
GBLOCK,0,13,0.29745782308225277,0.31681990098953244,10.0,0.3253554502369668,0.3248815165876777,6.746445497630332,0.0,3.2535545023696684
GBLOCK,0,14,0.29370023132695094,0.3229736727078756,10.0,0.40023696682464455,0.3988151658767773,5.997630331753554,0.0,4.002369668246446
GBLOCK,0,15,0.2893743064403534,0.3050113141536713,10.0,0.34881516587677724,0.34881516587677724,6.511848341232228,0.0,3.4881516587677726
GBLOCK,0,16,0.2821138744089339,0.311586053053538,10.0,0.3,0.3,7.0,0.0,3.0
GBLOCK,0,17,0.2778570155788351,0.30551337416966756,10.0,0.3040284360189573,0.30379146919431277,6.959715639810427,0.0,3.0402843601895735
