run_id,seed,epoch,train_loss,val_loss,hs_pos_real,hs_margin_real,hs_pos_cf,hs_margin_cf,lphi_real,lphi_cf,lphi_bound_real,vartheta,vartheta_cf
R1,0,1,0.7982200340429941,0.47166368293762206,0.0,-83.0537890381091,1.0,19159584.688646916,268620256.9299884,61862708559178.04,16019.148208915221,0.04151555094721062,5.038656169240103
R1,0,2,0.4498137673801846,0.39908619197209677,0.0,-100.17778791193899,1.0,23160681.649325017,203473899.40759993,47042840089158.35,19414.494994803525,0.0413471310592759,5.023016144300621
R1,0,3,0.3993397869622266,0.37575155568122864,0.0,-123.55234352018975,1.0,28578097.82725147,308635213.1588635,71388918674538.78,24043.7246462188,0.04117964443660552,5.004596925161832
R1,0,4,0.3806424260625133,0.3632761305967967,0.0,-147.7279902216963,1.0,34180027.70646201,439780722.5309906,101753288149514.9,28866.175532194993,0.04101262664580602,4.985519692893537
R1,0,5,0.38043974232673644,0.3814820373058319,0.0,-154.228636168545,1.0,35692580.013614364,480935594.5720018,111302565491770.47,30261.085696423997,0.04084653037209665,4.9662439221883705
R1,0,6,0.38943023179195546,0.3708638954957326,0.0,-156.87699714898042,1.0,36306697.65812061,499936103.0675293,115702892729144.34,30912.15011149458,0.04068096068598344,4.946648993175719
R1,0,7,0.3754053118273064,0.3583845771948497,0.0,-171.51013167179482,1.0,39687654.26332895,601154993.5910832,139110519971908.92,33937.80647200525,0.04051619154350459,4.926880446013385
R1,0,8,0.37089222294312935,0.37394477033615114,0.0,-168.3391407348855,1.0,38954807.77397162,586434218.3707453,135705774005306.08,33446.82202689222,0.0403521066711795,4.907178104565792
R1,0,9,0.37142510896258885,0.3649469851652781,0.0,-166.90197199551974,1.0,38618342.562811226,582259905.223342,134728370889377.81,33304.71693302802,0.04018863939425033,4.887584981544636
R1,0,10,0.36676664677372683,0.3599691353638967,0.0,-164.66810697796274,1.0,38097588.49244901,562044003.1382624,130036584331744.88,32998.64280756148,0.040026011053592936,4.868000924412572
R1,0,11,0.3686165087841175,0.41391290465990704,0.0,-159.78758722749888,1.0,36967117.7889109,541690720.535119,125326167749362.52,32155.520011173023,0.03986386296546095,4.848479686868134
R1,0,12,0.3617011508765044,0.345772331237793,0.0,-163.1903286576098,1.0,37752959.544543386,566774494.817377,131123581648657.16,32980.47874400578,0.0397026393682726,4.829183240084119
