run_id,seed,epoch,train_loss,val_loss,feasible_sminus,infeasible_sminus,flip_to_splus,n_sminus,n_sminus_infeasible,n_splus,psi,u_sq
GLRD,0,1,1.7601775866084628,0.8677617173194885,0.014218009478672985,0.985781990521327,0.985781990521327,0.014218009478672985,0.0,0.985781990521327,10.71495610216052,1343.0018933892816
GLRD,0,2,0.6670451997474388,0.5510916167894999,0.0,1.0,1.0,0.0,0.0,1.0,10.865080584164794,1121.419737793258
GLRD,0,3,0.5177698992976436,0.45763099694252013,0.0,1.0,1.0,0.0,0.0,1.0,10.905998932905998,835.5183321333609
GLRD,0,4,0.4411006048961922,0.40402947703997294,0.0,1.0,1.0,0.0,0.0,1.0,10.947142149680406,697.5728567403639
GLRD,0,5,0.3928494536876678,0.39377935806910197,0.0,1.0,1.0,0.0,0.0,1.0,10.988398796440814,574.9549620931183
GLRD,0,6,0.36271112370491027,0.37419351053237915,0.0,1.0,1.0,0.0,0.0,1.0,11.02986651616527,489.533536612705
GLRD,0,7,0.3415594968530867,0.35937465413411457,0.0,1.0,1.0,0.0,0.0,1.0,11.071477177629253,482.8555632315541
GLRD,0,8,0.3253260746532016,0.3346747020880381,0.0,1.0,1.0,0.0,0.0,1.0,11.113259343900545,470.4378137633699
GLRD,0,9,0.3133933409055074,0.3135839693546295,0.0,1.0,1.0,0.0,0.0,1.0,11.155230610014732,469.7220072452491
GLRD,0,10,0.30149454504913753,0.32578912655512493,0.0,1.0,1.0,0.0,0.0,1.0,11.197333413742598,453.5883657446405
GLRD,0,11,0.29317457568203964,0.31954299902915956,0.0,1.0,1.0,0.0,0.0,1.0,11.23966103068811,473.1650523325843
GLRD,0,12,0.28776582477710866,0.30943097233772276,0.0,1.0,1.0,0.0,0.0,1.0,11.28209706246176,492.5532682156676
GLRD,0,13,0.27897017107186495,0.2977972820599874,0.0,1.0,1.0,0.0,0.0,1.0,11.32477447113632,495.18891451144106
GLRD,0,14,0.27313744703487114,0.3046383105913798,0.0,1.0,1.0,0.0,0.0,1.0,11.367554480725085,490.88177624019966
GLRD,0,15,0.27096399182743497,0.2913789673646291,0.0,1.0,1.0,0.0,0.0,1.0,11.410577435041654,543.1417390723929
GLRD,0,16,0.26569450933844957,0.2879399354457855,0.0,1.0,1.0,0.0,0.0,1.0,11.453710679185809,540.9005866751287
GLRD,0,17,0.26113848351990737,0.29556220348676043,0.0,1.0,1.0,0.0,0.0,1.0,11.497075665645832,546.2911297766518
GLRD,0,18,0.2545291211958285,0.2939958389600118,0.0,1.0,1.0,0.0,0.0,1.0,11.54056907359369,547.5031582439116
GLRD,0,19,0.25218896755465753,0.2872576698462168,0.0,1.0,1.0,0.0,0.0,1.0,11.584275340080328,580.6864870261242
GLRD,0,20,0.24626370195989256,0.2730937978029251,0.0,1.0,1.0,0.0,0.0,1.0,11.628134715925517,599.2720357162692
GLRD,0,21,0.2439868386056688,0.28108356149991354,0.0,1.0,1.0,0.0,0.0,1.0,11.672183284060825,625.6906567252643
GLRD,0,22,0.24048395040300158,0.282205330769221,0.0,1.0,1.0,0.0,0.0,1.0,11.716412060331486,651.2992967723105
GLRD,0,23,0.23627371643207692,0.29719809619585674,0.0,1.0,1.0,0.0,0.0,1.0,11.76080595564204,660.5503556310283
GLRD,0,24,0.23114896482008473,0.2728618187904358,0.0,1.0,1.0,0.0,0.0,1.0,11.805404660386126,687.6235052172042
GLRD,0,25,0.2274878511958652,0.28705303676923116,0.0,1.0,1.0,0.0,0.0,1.0,11.850149614523978,703.9805993175055
GLRD,0,26,0.22403249174135703,0.27124169397354125,0.0,1.0,1.0,0.0,0.0,1.0,11.895117860238507,750.3863614339964
GLRD,0,27,0.22109059830948158,0.2667779218753179,0.0,1.0,1.0,0.0,0.0,1.0,11.940219646220097,799.0821865136024
GLRD,0,28,0.21793411177617533,0.2837387204170227,0.0,1.0,1.0,0.0,0.0,1.0,11.985557906567594,850.1703207730117
GLRD,0,29,0.21307640820520896,0.26278942783673603,0.0,1.0,1.0,0.0,0.0,1.0,12.031022377785957,849.6570419383839
GLRD,0,30,0.20891724294644815,0.2712358234326045,0.0,1.0,1.0,0.0,0.0,1.0,12.07673125846402,883.7075340668737
GLRD,0,31,0.20467952167546308,0.2646131804386775,0.0,1.0,1.0,0.0,0.0,1.0,12.122562433870556,913.8582600236504
GLRD,0,32,0.2009006127604732,0.2611479151248932,0.0,1.0,1.0,0.0,0.0,1.0,12.168642850520442,988.1919614240456
GLRD,0,33,0.19723573673654485,0.26274361089865367,0.0,1.0,1.0,0.0,0.0,1.0,12.214845400645784,1009.0588718793969
GLRD,0,34,0.1936666176363274,0.25159761842091877,0.0,1.0,1.0,0.0,0.0,1.0,12.261298291396066,1102.9471315501426
GLRD,0,35,0.18874632087018756,0.2605991243521372,0.0,1.0,1.0,0.0,0.0,1.0,12.307877905318987,1128.1752256420552
GLRD,0,36,0.18404717835673579,0.2661741782426834,0.0,1.0,1.0,0.0,0.0,1.0,12.35470348903145,1128.5289998709873
GLRD,0,37,0.18106517888219267,0.2595378827651342,0.0,1.0,1.0,0.0,0.0,1.0,12.401665762472108,1272.2687692506618
GLRD,0,38,0.17684692118786,0.2565021215279897,0.0,1.0,1.0,0.0,0.0,1.0,12.448863345566243,1274.7949309868836
GLRD,0,39,0.17335990382565392,0.2541686745087306,0.0,1.0,1.0,0.0,0.0,1.0,12.496214885014295,1346.3134110437186
GLRD,0,40,0.16950950641543777,0.2558799996773402,0.0,1.0,1.0,0.0,0.0,1.0,12.543782461142962,1424.922421857644
GLRD,0,41,0.16552696981694964,0.2556001638174057,0.0,1.0,1.0,0.0,0.0,1.0,12.591532289795156,1489.245145680215
GLRD,0,42,0.16230955921720575,0.25274257667859396,0.0,1.0,1.0,0.0,0.0,1.0,12.6394676056281,1538.873780381623
GLRD,0,43,0.1597253357436922,0.25475969111919405,0.0,1.0,1.0,0.0,0.0,1.0,12.68762338769801,1659.625683825163
