run_id,seed,epoch,train_loss,val_loss,hs_pos_raw,hs_margin_raw
BDIAG,0,1,0.8027828150148745,0.5050934920310974,0.0,-850888579664.0758
BDIAG,0,2,0.4526818702397523,0.40950637706120807,0.0,-900843233280.0
BDIAG,0,3,0.40280095309681363,0.4003254451751709,0.0,-943202607773.7251
BDIAG,0,4,0.39130441959698997,0.35375569939613344,0.0,-955345558853.1564
BDIAG,0,5,0.3810022821602998,0.39128308788935345,0.0,-986403700231.2797
BDIAG,0,6,0.38276324826699715,0.36842533604303995,0.0,-997403371529.7062
BDIAG,0,7,0.3712063567020275,0.37771055086453753,0.0,-999820601353.7062
BDIAG,0,8,0.3638508809319249,0.36204009866714476,0.0,-999999995904.0
BDIAG,0,9,0.3570124916942031,0.34781419348716736,0.0,-999999995904.0
BDIAG,0,10,0.3597996713143808,0.34431256087621054,0.0,-999999995904.0
BDIAG,0,11,0.3513061139406981,0.3594587961832682,0.0,-999999995904.0
BDIAG,0,12,0.3587854861330103,0.3506475987434387,0.0,-999999995904.0
BDIAG,0,13,0.3536086598590568,0.3866062035560608,0.0,-999999995904.0
BDIAG,0,14,0.35257918643951414,0.3832413064638774,0.0,-999999995904.0
BDIAG,0,15,0.34618612957883765,0.34705901193618777,0.0,-999999995904.0
BDIAG,0,16,0.34255895994327684,0.40087747677167257,0.0,-999999995904.0
BDIAG,0,17,0.3560061166463075,0.40277547454833984,0.0,-999999995904.0
BDIAG,0,18,0.34417100357126307,0.36570949761072796,0.0,-999999995904.0
BDIAG,0,19,0.34530204327901204,0.3308923327922821,0.0,-999999995904.0
BDIAG,0,20,0.3495681142983613,0.34619575254122414,0.0,-999999995904.0
BDIAG,0,21,0.3494894664464174,0.35932709606488544,0.0,-999999995904.0
BDIAG,0,22,0.35045071726375154,0.3617860472202301,0.0,-999999995904.0
BDIAG,0,23,0.3452309279176924,0.36462722039222717,0.0,-999999995904.0
BDIAG,0,24,0.3354087610597964,0.3602945760091146,0.0,-999999995904.0
BDIAG,0,25,0.34306476721057183,0.3350983398358027,0.0,-999999995904.0
BDIAG,0,26,0.3395661253355168,0.39615258399645487,0.0,-999999995904.0
BDIAG,0,27,0.33457330885639897,0.3452433586915334,0.0,-999999995904.0
BDIAG,0,28,0.34295407851095555,0.3569948172569275,0.0,-999999995904.0
BDIAG,0,29,0.334572978399418,0.3571602059205373,0.0,-999999995904.0
BDIAG,0,30,0.3304585813063162,0.3693140915234884,0.0,-999999995904.0
BDIAG,0,31,0.33698980120376304,0.36680109826723734,0.0,-999999995904.0
BDIAG,0,32,0.3322627273577231,0.36356879035631817,0.0,-999999995904.0
BDIAG,0,33,0.3348559211404235,0.3333045423825582,0.0,-999999995904.0
BDIAG,0,34,0.32722384405136107,0.3453700707753499,0.0,-999999995904.0
BDIAG,0,35,0.32630903571623343,0.35252398800849916,0.0,-999999995904.0
BDIAG,0,36,0.33100740890591235,0.35053881947199506,0.0,-999999995904.0
BDIAG,0,37,0.32359036850487743,0.32985606066385903,0.0,-999999995904.0
BDIAG,0,38,0.32719634471116243,0.3511300752957662,0.0,-999999995904.0
BDIAG,0,39,0.3215970194251449,0.34908058714866635,0.0,-999999995904.0
